ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
WILLILO01 ,1997,Lorenzo,Williams,WAS,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WILLIMI01 ,1997,Michael,Williams,MIN,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WILLIMO01 ,1997,Monty,Williams,SAS,gp-mb,minutes-b,pts-r,oreb-b,dreb-r,reb-r,asts-r,stl-r,blk-r,pf-b,fga-r,fgm-r,fta-b,ftm-b,tpa-mr,tpm-mr,NO
WILLISC01 ,1997,Scott,Williams,PHI,gp-b,minutes-r,pts-mr,oreb-b,dreb-r,reb-b,asts-mr,stl-mr,blk-r,pf-b,fga-r,fgm-mr,fta-mr,ftm-r,tpa-mr,tpm-mr,NO
WILLITR01 ,1997,Travis,Williams,CHA,gp-r,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WILLIWA01 ,1997,Walt,Williams,TOT,gp-b,minutes-b,pts-b,oreb-r,dreb-b,reb-r,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-b,tpa-b,tpm-b,NO
WILLIWA01 ,1997,Walt,Williams,POR,gp-r,minutes-mr,pts-r,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-r,fga-r,fgm-mr,fta-mr,ftm-r,tpa-b,tpm-b,NO
WILLIWA01 ,1997,Walt,Williams,TOR,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-r,asts-r,stl-r,blk-r,pf-r,fga-r,fgm-r,fta-mr,ftm-mr,tpa-b,tpm-b,NO
WINGADA01 ,1997,David,Wingate,SEA,gp-b,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-r,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WINGFDO01 ,1997,Donton,Wingfield,POR,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WOLFJO01  ,1997,Joe,Wolf,DEN,gp-b,minutes-r,pts-mr,oreb-r,dreb-r,reb-r,asts-mr,stl-mr,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
WRIGHLO02 ,1997,Lorenzen,Wright,LAC,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-mr,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
WRIGHSH01 ,1997,Sharone,Wright,TOR,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ZIDEKGE01 ,1997,George,Zidek,SEA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ZIDEKGE01 ,1997,George,Zidek,DEN,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ZIDEKGE01 ,1997,George,Zidek,TOT,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ABDULTA01 ,1998,Tariq,Abdul-wahad,SAC,gp-r,minutes-b,pts-r,oreb-b,dreb-r,reb-r,asts-mr,stl-b,blk-r,pf-b,fga-r,fgm-r,fta-b,ftm-r,tpa-mr,tpm-mr,NO
ABDURSH01 ,1998,Shareef,Abdur-rahim,VAN,gp-r,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-r,NO
ALEXACO01 ,1998,Cory,Alexander,DEN,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-b,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-mr,ftm-mr,tpa-b,tpm-b,NO
ALLENRA02 ,1998,Ray,Allen,MIL,gp-r,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
ALUMAPE01 ,1998,Peter,Aluma,SAC,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ANDERDE01 ,1998,Derek,Anderson,CLE,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-b,ftm-b,tpa-b,tpm-b,NO
ANDERKE02 ,1998,Kenny,Anderson,BOS,gp-r,minutes-r,pts-r,oreb-mr,dreb-r,reb-mr,asts-b,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
ANDERNI01 ,1998,Nick,Anderson,ORL,gp-r,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-r,stl-b,blk-r,pf-r,fga-b,fgm-b,fta-b,ftm-r,tpa-b,tpm-b,NO
