ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
ABDULKA01 ,1979,Kareem,Abdul-jabbar,LAL,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-mb,reb-mb,asts-b,stl-b,blk-mb,pf-b,fga-mb,fgm-mb,fta-b,ftm-b,tpa-mr,tpm-mr,YES
ABERNTO01 ,1979,Tom,Abernethy,GSW,gp-b,minutes-b,pts-r,oreb-r,dreb-r,reb-r,asts-r,stl-r,blk-mr,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
ADAMSAL01 ,1979,Alvan,Adams,PHO,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ARCHINA01 ,1979,Nate,Archibald,BOS,gp-mb,minutes-mb,pts-b,oreb-r,dreb-r,reb-r,asts-mb,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,YES
AWTREDE01 ,1979,Dennis,Awtrey,CHI,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-r,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILEGU01 ,1979,Gus,Bailey,WA1,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILEJA01 ,1979,James,Bailey,SEA,gp-b,minutes-r,pts-r,oreb-b,dreb-r,reb-r,asts-mr,stl-r,blk-b,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BALLAGR01 ,1979,Greg,Ballard,WA1,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-r,NO
BANTOMI01 ,1979,Mike,Bantom,IND,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BARNEMA01 ,1979,Marvin,Barnes,SDC,gp-mr,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BARRYRI01 ,1979,Rick,Barry,HOU,gp-mb,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
BASSETI01 ,1979,Tim,Bassett,SAS,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BASSETI01 ,1979,Tim,Bassett,TOT,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BASSETI01 ,1979,Tim,Bassett,NJN,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BATESBI01 ,1979,Billyray,Bates,POR,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BEHAGRO01 ,1979,Ron,Behagen,WA1,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BENSOKE01 ,1979,Kent,Benson,MIL,gp-b,minutes-b,pts-r,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BENSOKE01 ,1979,Kent,Benson,DET,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-r,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BENSOKE01 ,1979,Kent,Benson,TOT,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-r,tpa-mr,tpm-mr,NO
BESHODE01 ,1979,Del,Beshore,CHI,gp-mb,minutes-r,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-mr,fta-r,ftm-r,tpa-mr,tpm-r,NO
BIBBYHE01 ,1979,Henry,Bibby,PHI,gp-mb,minutes-b,pts-b,oreb-b,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-r,NO
BIRDLA01  ,1979,Larry,Bird,BOS,gp-mb,minutes-mb,pts-b,oreb-b,dreb-mb,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-mb,fgm-mb,fta-b,ftm-b,tpa-b,tpm-b,YES
BIRDSOT01 ,1979,Otis,Birdsong,KCK,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-r,pf-b,fga-mb,fgm-mb,fta-b,ftm-b,tpa-r,tpm-r,YES
BOONERO01 ,1979,Ron,Boone,TOT,gp-mb,minutes-mb,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-b,NO
BOONERO01 ,1979,Ron,Boone,LAL,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOONERO01 ,1979,Ron,Boone,UTA,gp-mb,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-b,NO
BOSTOLA01 ,1979,Lawrence,Boston,WA1,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOSWETO01 ,1979,Tom,Boswell,DEN,gp-mr,minutes-mr,pts-mr,oreb-r,dreb-r,reb-r,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BOSWETO01 ,1979,Tom,Boswell,UTA,gp-b,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-r,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BOSWETO01 ,1979,Tom,Boswell,TOT,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-r,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BOYNEWI01 ,1979,Winford,Boynes,NJN,gp-b,minutes-r,pts-b,oreb-r,dreb-r,reb-r,asts-r,stl-b,blk-r,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BRADLAL01 ,1979,Alonzo,Bradley,HOU,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BRADLDU01 ,1979,Dudley,Bradley,IND,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-mb,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BRATZMI01 ,1979,Mike,Bratz,PHO,gp-mb,minutes-b,pts-b,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
BREWEJI01 ,1979,Jim,Brewer,POR,gp-b,minutes-r,pts-mr,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BREWERO01 ,1979,Ron,Brewer,POR,gp-mb,minutes-mb,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-mr,NO
BRIDGJU01 ,1979,Junior,Bridgeman,MIL,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-mr,NO
BRISTAL01 ,1979,Allan,Bristow,UTA,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BROWNFR01 ,1979,Fred,Brown,SEA,gp-mb,minutes-b,pts-b,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-b,NO
BROWNJO01 ,1979,John,Brown,ATL,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BROWNJO01 ,1979,John,Brown,TOT,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BROWNJO01 ,1979,John,Brown,UTA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BROWNRO02 ,1979,Roger,Brown,CHI,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BRYANJO01 ,1979,Joe,Bryant,SDC,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-mr,NO
BUCKNQU01 ,1979,Quinn,Buckner,MIL,gp-b,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BURLETO01 ,1979,Tom,Burleson,KCK,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-r,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BUSEDO01  ,1979,Don,Buse,PHO,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-b,fta-r,ftm-r,tpa-b,tpm-b,NO
BYRNEMA01 ,1979,Marty,Byrnes,LAL,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CALHOCO01 ,1979,Corky,Calhoun,IND,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CALVIMA01 ,1979,Mack,Calvin,UTA,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-b,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-b,tpa-mr,tpm-mr,NO
CARRAU01  ,1979,Austin,Carr,CLE,gp-mb,minutes-b,pts-b,oreb-b,dreb-r,reb-r,asts-b,stl-r,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CARRIBO01 ,1979,Bob,Carrington,SDC,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CARRKE01  ,1979,Kenny,Carr,CLE,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CARRKE01  ,1979,Kenny,Carr,LAL,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CARRKE01  ,1979,Kenny,Carr,TOT,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CARRML01  ,1979,M.l.,Carr,BOS,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-r,NO
CARTERO01 ,1979,Ron,Carter,IND,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CARTWBI01 ,1979,Bill,Cartwright,NYK,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-mb,fta-mb,ftm-b,tpa-mr,tpm-mr,YES
CATCHHA01 ,1979,Harvey,Catchings,MIL,gp-mb,minutes-b,pts-mr,oreb-b,dreb-b,reb-b,asts-r,stl-r,blk-b,pf-b,fga-r,fgm-r,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CHANEDO01 ,1979,Don,Chaney,BOS,gp-b,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-r,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CHEEKMA01 ,1979,Maurice,Cheeks,PHI,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-mb,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CHENIPH01 ,1979,Phil,Chenier,TOT,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-r,stl-r,blk-r,pf-mr,fga-r,fgm-r,fta-r,ftm-mr,tpa-mr,tpm-mr,NO
CHENIPH01 ,1979,Phil,Chenier,WA1,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-r,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CHENIPH01 ,1979,Phil,Chenier,IND,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CHONEJI01 ,1979,Jim,Chones,LAL,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CLEAMJI01 ,1979,Jim,Cleamons,NYK,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CLEAMJI01 ,1979,Jim,Cleamons,WA1,gp-b,minutes-b,pts-r,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
CLEAMJI01 ,1979,Jim,Cleamons,TOT,gp-mb,minutes-b,pts-b,oreb-r,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-r,tpm-mr,NO
COLLIDO01 ,1979,Doug,Collins,PHI,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-r,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-b,tpa-mr,tpm-mr,NO
COOKJE01  ,1979,Jeff,Cook,PHO,gp-b,minutes-r,pts-r,oreb-b,dreb-b,reb-b,asts-r,stl-r,blk-r,pf-r,fga-r,fgm-r,fta-r,ftm-b,tpa-mr,tpm-mr,NO
COOPEMI01 ,1979,Michael,Cooper,LAL,gp-mb,minutes-b,pts-b,oreb-b,dreb-r,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
COOPEWA01 ,1979,Wayne,Cooper,GSW,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-mr,stl-mr,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
COPELHO01 ,1979,Hollis,Copeland,NYK,gp-mb,minutes-r,pts-r,oreb-b,dreb-r,reb-r,asts-r,stl-b,blk-r,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
CORZIDA01 ,1979,Dave,Corzine,WA1,gp-mb,minutes-r,pts-mr,oreb-b,dreb-b,reb-b,asts-r,stl-mr,blk-b,pf-b,fga-r,fgm-mr,fta-r,ftm-mr,tpa-mr,tpm-mr,NO
COUGHJO01 ,1979,John,Coughran,GSW,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
COWENDA01 ,1979,Dave,Cowens,BOS,gp-b,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-mr,tpm-mr,NO
CRISSCH01 ,1979,Charlie,Criss,ATL,gp-mb,minutes-b,pts-b,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
CROSBTE01 ,1979,Terry,Crosby,KCK,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
CUMMIPA01 ,1979,Pat,Cummings,MIL,gp-mb,minutes-r,pts-r,oreb-b,dreb-b,reb-b,asts-mr,stl-r,blk-r,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
DANDRBO01 ,1979,Bob,Dandridge,WA1,gp-r,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-r,blk-b,pf-r,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
DANTLAD01 ,1979,Adrian,Dantley,UTA,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-mb,fta-b,ftm-b,tpa-mr,tpm-mr,YES
DAVISBR01 ,1979,Brad,Davis,IND,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DAVISBR01 ,1979,Brad,Davis,TOT,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DAVISBR01 ,1979,Brad,Davis,UTA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DAVISHA01 ,1979,Harry,Davis,SAS,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DAVISJO01 ,1979,Johnny,Davis,IND,gp-mb,minutes-mb,pts-b,oreb-b,dreb-r,reb-b,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-mr,NO
DAVISWA03 ,1979,Walter,Davis,PHO,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-mb,fta-b,ftm-b,tpa-mr,tpm-mr,YES
DAWKIDA01 ,1979,Darryl,Dawkins,PHI,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
DAWKIPA01 ,1979,Paul,Dawkins,UTA,gp-b,minutes-r,pts-r,oreb-r,dreb-r,reb-r,asts-r,stl-r,blk-mr,pf-r,fga-r,fgm-r,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DEANEGR01 ,1979,Greg,Deane,UTA,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
DEMICLA01 ,1979,Larry,Demic,NYK,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
DIETRCO01 ,1979,Coby,Dietrick,CHI,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-mr,tpm-mr,NO
DOUGLLE01 ,1979,Leon,Douglas,DET,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-r,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
DREWJO01  ,1979,John,Drew,ATL,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-r,pf-mb,fga-b,fgm-b,fta-mb,ftm-mb,tpa-mr,tpm-mr,YES
DUEROTE01 ,1979,Terry,Duerod,DET,gp-b,minutes-b,pts-b,oreb-mr,dreb-mr,reb-mr,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-b,fta-r,ftm-mr,tpa-r,tpm-r,NO
DUNLEMI01 ,1979,Mike,Dunleavy,HOU,gp-b,minutes-r,pts-r,oreb-mr,dreb-r,reb-mr,asts-b,stl-r,blk-mr,pf-b,fga-r,fgm-r,fta-b,ftm-b,tpa-mr,tpm-mr,NO
DUNNTR01  ,1979,T.r.,Dunn,POR,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-mr,tpm-mr,NO
EDWARJA01 ,1979,James,Edwards,IND,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ELLIOBO01 ,1979,Bob,Elliott,NJN,gp-b,minutes-r,pts-r,oreb-b,dreb-r,reb-r,asts-mr,stl-r,blk-r,pf-r,fga-r,fgm-r,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ELLISBO01 ,1979,Bo,Ellis,DEN,gp-r,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
ELMORLE01 ,1979,Len,Elmore,KCK,gp-b,minutes-r,pts-r,oreb-b,dreb-b,reb-b,asts-r,stl-b,blk-b,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
ENGLIAL01 ,1979,Alex,English,DEN,gp-mr,minutes-r,pts-b,oreb-b,dreb-r,reb-b,asts-r,stl-r,blk-b,pf-r,fga-b,fgm-b,fta-r,ftm-r,tpa-mr,tpm-mr,NO
ENGLIAL01 ,1979,Alex,English,IND,gp-b,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ENGLIAL01 ,1979,Alex,English,TOT,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ERVINJU01 ,1979,Julius,Erving,PHI,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-mb,fgm-mb,fta-b,ftm-b,tpa-mr,tpm-mr,YES
EVANSEA01 ,1979,Earl,Evans,DET,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
EVANSMI01 ,1979,Mike,Evans,SAS,gp-mb,minutes-b,pts-r,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-r,tpm-r,NO
FERNSER01 ,1979,Eric,Fernsten,BOS,gp-b,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
FORDCH01  ,1979,Chris,Ford,BOS,gp-mb,minutes-b,pts-b,oreb-b,dreb-r,reb-r,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-r,ftm-r,tpa-b,tpm-b,NO
FORDDO01  ,1979,Don,Ford,CLE,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
FORDDO01  ,1979,Don,Ford,TOT,gp-mb,minutes-r,pts-r,oreb-r,dreb-r,reb-r,asts-r,stl-r,blk-r,pf-b,fga-r,fgm-r,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
FORDDO01  ,1979,Don,Ford,LAL,gp-b,minutes-mr,pts-mr,oreb-mr,dreb-r,reb-mr,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
